date,type,amount,category
2020-08-22,expense,48.06,Personal Care
2020-08-23,expense,38.77,Personal Care
2020-08-24,expense,31.92,Transportation
2020-08-25,expense,95.43,Transportation
2020-08-26,expense,22.39,Entertainment
2020-08-28,expense,90.1,Entertainment
2020-08-29,income,684.18,Freelance
2020-08-29,income,602.94,Side Business
2020-08-29,expense,115.65,Groceries
2020-08-30,income,849.49,Side Business
2020-08-30,income,2403.96,Salary
2020-09-01,expense,1671.62,Housing
2020-09-01,expense,226.8,Utilities
2020-09-01,expense,191.05,Insurance
2020-09-01,expense,64.27,Subscriptions
2020-09-01,expense,24.48,Personal Care
2020-09-02,expense,124.59,Dining Out
2020-09-03,income,560.93,Side Business
2020-09-04,expense,20.93,Personal Care
2020-09-05,expense,105.01,Groceries
2020-09-05,income,1245.59,Rental Income
2020-09-06,expense,47.21,Entertainment
2020-09-07,income,687.57,Side Business
2020-09-08,expense,44.72,Personal Care
2020-09-09,expense,89.8,Entertainment
2020-09-10,income,352.71,Investments
2020-09-10,expense,37.63,Transportation
2020-09-10,expense,119.26,Healthcare
2020-09-10,expense,134.63,Dining Out
2020-09-11,expense,79.85,Transportation
2020-09-12,expense,150.29,Dining Out
2020-09-12,expense,105.86,Groceries
2020-09-13,income,981.45,Freelance
2020-09-14,expense,64.07,Transportation
2020-09-15,income,2403.96,Salary
2020-09-15,expense,131.54,Dining Out
2020-09-16,income,683.77,Side Business
2020-09-17,income,1015.98,Freelance
2020-09-17,expense,33.5,Transportation
2020-09-17,expense,69.15,Transportation
2020-09-18,expense,133.0,Dining Out
2020-09-18,expense,46.73,Transportation
2020-09-18,expense,46.38,Transportation
2020-09-19,expense,137.76,Groceries
2020-09-20,expense,118.09,Dining Out
2020-09-21,income,761.82,Freelance
2020-09-21,expense,231.08,Shopping
2020-09-21,expense,252.53,Shopping
2020-09-24,expense,23.77,Entertainment
2020-09-24,expense,69.31,Transportation
2020-09-25,expense,45.27,Entertainment
2020-09-25,expense,50.35,Entertainment
2020-09-26,expense,107.73,Groceries
2020-09-26,expense,74.67,Transportation
2020-09-28,expense,109.2,Healthcare
2020-09-28,expense,106.64,Shopping
2020-09-29,income,707.27,Freelance
2020-09-30,income,2403.96,Salary
2020-10-01,expense,66.47,Subscriptions
2020-10-01,expense,197.61,Insurance
2020-10-01,expense,71.08,Transportation
2020-10-01,expense,1627.24,Housing
2020-10-01,expense,224.69,Utilities
2020-10-02,expense,73.23,Transportation
2020-10-03,expense,103.2,Groceries
2020-10-03,expense,35.41,Education
2020-10-03,expense,24.71,Personal Care
2020-10-04,income,870.49,Freelance
2020-10-04,expense,149.69,Dining Out
2020-10-05,income,1293.58,Rental Income
2020-10-09,expense,83.87,Shopping
2020-10-09,expense,74.06,Gifts
2020-10-10,income,403.85,Investments
2020-10-10,expense,112.5,Groceries
2020-10-10,expense,78.03,Dining Out
2020-10-11,expense,1108.85,Home Improvement
2020-10-13,expense,71.88,Entertainment
2020-10-14,expense,85.47,Entertainment
2020-10-15,income,2403.96,Salary
2020-10-15,expense,113.17,Dining Out
2020-10-16,expense,90.51,Dining Out
2020-10-17,expense,148.9,Groceries
2020-10-17,expense,44.96,Personal Care
2020-10-18,expense,236.09,Shopping
2020-10-18,expense,64.39,Dining Out
2020-10-21,expense,58.02,Entertainment
2020-10-22,income,1067.84,Freelance
2020-10-22,expense,14.57,Personal Care
2020-10-23,expense,29.07,Entertainment
2020-10-24,expense,111.74,Groceries
2020-10-24,expense,26.63,Entertainment
2020-10-24,expense,80.83,Entertainment
2020-10-25,expense,61.09,Healthcare
2020-10-25,expense,83.9,Transportation
2020-10-25,income,718.63,Freelance
2020-10-25,income,849.53,Side Business
2020-10-27,income,934.03,Freelance
2020-10-27,expense,80.84,Entertainment
2020-10-27,expense,99.76,Transportation
2020-10-28,expense,80.66,Shopping
2020-10-29,income,829.97,Freelance
2020-10-29,expense,31.91,Education
2020-10-30,income,658.68,Freelance
2020-10-30,income,2403.96,Salary
2020-10-30,expense,97.77,Transportation
2020-10-31,expense,108.09,Groceries
2020-11-01,income,624.56,Freelance
2020-11-01,expense,1625.9,Housing
2020-11-01,expense,230.06,Utilities
2020-11-01,expense,193.18,Insurance
2020-11-01,expense,64.91,Subscriptions
2020-11-03,expense,34.8,Education
2020-11-03,expense,183.98,Shopping
2020-11-04,expense,152.21,Healthcare
2020-11-05,income,1202.05,Rental Income
2020-11-07,expense,169.77,Groceries
2020-11-09,expense,54.94,Entertainment
2020-11-09,expense,114.9,Shopping
2020-11-10,income,348.12,Investments
2020-11-11,expense,39.16,Shopping
2020-11-12,income,731.45,Freelance
2020-11-14,expense,161.12,Groceries
2020-11-15,income,2403.96,Salary
2020-11-17,expense,48.62,Entertainment
2020-11-17,expense,18.91,Education
2020-11-18,expense,31.44,Transportation
2020-11-19,expense,74.31,Dining Out
2020-11-21,expense,116.74,Dining Out
2020-11-21,expense,136.02,Groceries
2020-11-22,expense,97.45,Gifts
2020-11-23,expense,110.39,Gifts
2020-11-23,expense,75.37,Dining Out
2020-11-24,income,793.82,Freelance
2020-11-24,expense,77.14,Shopping
2020-11-25,income,840.04,Side Business
2020-11-26,expense,95.05,Dining Out
2020-11-26,expense,57.84,Gifts
2020-11-26,expense,73.38,Entertainment
2020-11-28,expense,92.82,Entertainment
2020-11-28,expense,160.94,Groceries
2020-11-30,income,2403.96,Salary
2020-11-30,expense,109.06,Education
2020-12-01,expense,1525.6,Housing
2020-12-01,expense,221.18,Utilities
2020-12-01,expense,201.0,Insurance
2020-12-01,expense,65.96,Subscriptions
2020-12-02,income,865.09,Freelance
2020-12-02,income,787.73,Side Business
2020-12-02,expense,137.0,Shopping
2020-12-03,expense,178.85,Shopping
2020-12-04,expense,45.63,Transportation
2020-12-05,income,977.85,Freelance
2020-12-05,income,1192.94,Rental Income
2020-12-05,expense,171.12,Groceries
2020-12-05,expense,71.23,Transportation
2020-12-06,expense,116.44,Healthcare
2020-12-06,expense,72.75,Dining Out
2020-12-08,expense,213.51,Shopping
2020-12-09,income,463.37,Side Business
2020-12-09,expense,115.11,Gifts
2020-12-10,income,399.96,Investments
2020-12-11,expense,61.95,Shopping
2020-12-12,expense,150.91,Groceries
2020-12-13,expense,38.84,Shopping
2020-12-13,expense,40.41,Personal Care
2020-12-15,income,2403.96,Salary
2020-12-15,expense,205.42,Shopping
2020-12-15,expense,77.2,Entertainment
2020-12-17,expense,199.36,Shopping
2020-12-18,expense,248.49,Shopping
2020-12-19,expense,164.11,Shopping
2020-12-19,expense,87.68,Gifts
2020-12-19,expense,161.78,Groceries
2020-12-20,expense,108.31,Dining Out
2020-12-23,expense,84.27,Shopping
2020-12-23,expense,233.13,Shopping
2020-12-23,expense,80.65,Transportation
2020-12-24,expense,74.03,Healthcare
2020-12-25,expense,14.92,Gifts
2020-12-25,expense,46.67,Healthcare
2020-12-26,expense,111.91,Dining Out
2020-12-26,expense,171.42,Groceries
2020-12-26,income,740.59,Freelance
2020-12-29,expense,127.2,Shopping
2020-12-30,income,2403.96,Salary
2020-12-31,expense,30.82,Education
2021-01-01,expense,1653.91,Housing
2021-01-01,expense,218.59,Utilities
2021-01-01,expense,207.03,Insurance
2021-01-01,expense,63.64,Subscriptions
2021-01-01,expense,248.46,Shopping
2021-01-02,expense,96.98,Transportation
2021-01-02,expense,137.6,Groceries
2021-01-02,income,713.49,Side Business
2021-01-03,income,784.89,Freelance
2021-01-03,expense,61.65,Entertainment
2021-01-04,expense,182.9,Healthcare
2021-01-04,expense,11.6,Education
2021-01-05,income,1328.98,Rental Income
2021-01-05,expense,57.78,Transportation
2021-01-05,expense,101.64,Dining Out
2021-01-07,expense,78.13,Entertainment
2021-01-08,expense,74.62,Healthcare
2021-01-09,expense,111.53,Groceries
2021-01-09,income,925.16,Side Business
2021-01-10,income,430.8,Investments
2021-01-10,expense,84.57,Transportation
2021-01-11,expense,39.75,Gifts
2021-01-12,expense,105.04,Entertainment
2021-01-13,expense,72.29,Entertainment
2021-01-14,expense,210.49,Shopping
2021-01-15,income,2403.96,Salary
2021-01-16,expense,123.28,Groceries
2021-01-17,expense,501.08,Healthcare
2021-01-17,expense,113.13,Dining Out
2021-01-17,expense,222.6,Shopping
2021-01-18,income,636.49,Side Business
2021-01-19,expense,82.08,Transportation
2021-01-19,expense,119.05,Dining Out
2021-01-19,expense,89.95,Transportation
2021-01-20,expense,25.04,Gifts
2021-01-21,expense,90.74,Shopping
2021-01-22,expense,60.97,Shopping
2021-01-23,expense,173.12,Healthcare
2021-01-23,expense,89.52,Dining Out
2021-01-23,expense,97.78,Groceries
2021-01-24,expense,75.58,Dining Out
2021-01-24,expense,137.66,Dining Out
2021-01-24,expense,95.55,Dining Out
2021-01-25,expense,115.22,Dining Out
2021-01-26,expense,177.07,Shopping
2021-01-29,income,854.54,Freelance
2021-01-29,expense,131.69,Dining Out
2021-01-30,expense,130.28,Groceries
2021-01-30,income,2403.96,Salary
2021-01-30,income,1067.49,Freelance
2021-01-31,expense,178.32,Healthcare
2021-02-01,expense,1687.85,Housing
2021-02-01,expense,235.41,Utilities
2021-02-01,expense,213.97,Insurance
2021-02-01,expense,65.57,Subscriptions
2021-02-01,expense,202.83,Shopping
2021-02-04,expense,35.32,Transportation
2021-02-05,income,1270.73,Rental Income
2021-02-06,expense,140.87,Groceries
2021-02-07,income,1024.04,Freelance
2021-02-07,expense,131.22,Dining Out
2021-02-08,expense,53.86,Healthcare
2021-02-09,expense,195.23,Healthcare
2021-02-10,income,437.36,Investments
2021-02-10,expense,160.95,Healthcare
2021-02-11,income,502.36,Side Business
2021-02-12,expense,66.74,Transportation
2021-02-13,expense,95.52,Groceries
2021-02-13,income,695.49,Side Business
2021-02-13,expense,148.44,Education
2021-02-14,income,873.6,Freelance
2021-02-15,income,2403.96,Salary
2021-02-15,income,1113.48,Freelance
2021-02-15,expense,238.68,Shopping
2021-02-16,income,784.5,Freelance
2021-02-16,expense,34.61,Entertainment
2021-02-17,expense,71.05,Entertainment
2021-02-18,expense,111.76,Dining Out
2021-02-20,expense,31.25,Personal Care
2021-02-20,expense,142.46,Groceries
2021-02-21,expense,49.55,Education
2021-02-21,expense,62.96,Transportation
2021-02-23,expense,72.16,Dining Out
2021-02-24,expense,16.13,Personal Care
2021-02-26,expense,40.58,Transportation
2021-02-26,expense,88.77,Shopping
2021-02-27,expense,152.12,Dining Out
2021-02-27,expense,110.2,Groceries
2021-02-27,expense,55.71,Transportation
2021-02-28,expense,85.63,Transportation
2021-03-01,income,694.47,Freelance
2021-03-01,expense,1719.85,Housing
2021-03-01,expense,224.07,Utilities
2021-03-01,expense,201.3,Insurance
2021-03-01,expense,66.97,Subscriptions
2021-03-01,expense,48.94,Entertainment
2021-03-02,expense,83.05,Shopping
2021-03-04,expense,33.63,Gifts
2021-03-04,expense,165.41,Shopping
2021-03-05,expense,74.76,Transportation
2021-03-05,income,1215.2,Rental Income
2021-03-05,expense,42.23,Personal Care
2021-03-06,expense,151.84,Groceries
2021-03-06,expense,78.03,Gifts
2021-03-08,income,638.77,Freelance
2021-03-08,income,918.27,Side Business
2021-03-08,expense,88.89,Transportation
2021-03-09,expense,217.56,Shopping
2021-03-10,expense,32.68,Personal Care
2021-03-10,expense,28.25,Entertainment
2021-03-10,income,398.65,Investments
2021-03-10,income,605.65,Side Business
2021-03-11,expense,61.01,Healthcare
2021-03-13,expense,155.88,Groceries
2021-03-15,income,556.84,Bonus
2021-03-15,income,2595.46,Salary
2021-03-19,expense,62.28,Dining Out
2021-03-20,expense,140.86,Groceries
2021-03-20,expense,105.67,Healthcare
2021-03-21,income,1036.64,Freelance
2021-03-22,expense,208.49,Healthcare
2021-03-22,expense,125.24,Healthcare
2021-03-22,income,871.29,Freelance
2021-03-22,expense,250.36,Shopping
2021-03-24,expense,43.53,Entertainment
2021-03-27,expense,128.52,Groceries
2021-03-27,expense,49.91,Transportation
2021-03-28,expense,95.75,Dining Out
2021-03-30,income,2595.46,Salary
2021-03-30,expense,80.26,Dining Out
2021-03-31,expense,67.03,Transportation
2021-04-01,expense,204.27,Insurance
2021-04-01,expense,68.04,Subscriptions
2021-04-01,expense,1641.97,Housing
2021-04-01,expense,219.84,Utilities
2021-04-02,income,1086.95,Freelance
2021-04-02,expense,593.47,Healthcare
2021-04-03,expense,112.0,Groceries
2021-04-03,expense,48.48,Entertainment
2021-04-03,expense,138.22,Dining Out
2021-04-04,expense,52.6,Transportation
2021-04-05,income,1215.17,Rental Income
2021-04-06,expense,52.19,Transportation
2021-04-08,expense,155.64,Healthcare
2021-04-08,income,928.16,Freelance
2021-04-09,income,965.33,Freelance
2021-04-09,expense,155.29,Dining Out
2021-04-10,income,397.96,Investments
2021-04-10,expense,132.55,Groceries
2021-04-11,expense,161.99,Healthcare
2021-04-12,income,908.17,Side Business
2021-04-13,expense,224.62,Shopping
2021-04-14,income,827.36,Side Business
2021-04-14,expense,46.58,Personal Care
2021-04-15,income,2595.46,Salary
2021-04-15,expense,56.87,Education
2021-04-17,expense,124.27,Groceries
2021-04-18,income,1106.57,Freelance
2021-04-19,expense,96.19,Entertainment
2021-04-21,income,580.1,Side Business
2021-04-21,expense,90.62,Healthcare
2021-04-21,expense,52.7,Personal Care
2021-04-21,expense,72.72,Entertainment
2021-04-22,expense,162.13,Shopping
2021-04-23,expense,138.12,Healthcare
2021-04-23,expense,95.5,Transportation
2021-04-23,expense,11.45,Gifts
2021-04-24,expense,113.26,Groceries
2021-04-26,expense,44.66,Education
2021-04-26,expense,61.7,Gifts
2021-04-27,expense,51.2,Personal Care
2021-04-28,income,716.79,Freelance
2021-04-28,expense,19.55,Personal Care
2021-04-29,expense,75.76,Gifts
2021-04-30,income,2595.46,Salary
2021-05-01,expense,81.18,Dining Out
2021-05-01,expense,93.43,Entertainment
2021-05-01,expense,101.3,Transportation
2021-05-01,expense,130.66,Groceries
2021-05-01,expense,223.49,Utilities
2021-05-01,expense,203.41,Insurance
2021-05-01,expense,1633.4,Housing
2021-05-01,income,960.88,Freelance
2021-05-01,expense,66.38,Subscriptions
2021-05-04,income,1022.42,Freelance
2021-05-05,income,1313.5,Rental Income
2021-05-05,expense,147.7,Dining Out
2021-05-06,expense,95.51,Transportation
2021-05-08,expense,95.82,Transportation
2021-05-08,expense,247.42,Shopping
2021-05-08,expense,161.96,Healthcare
2021-05-08,expense,156.25,Groceries
2021-05-09,expense,73.72,Dining Out
2021-05-10,income,430.89,Investments
2021-05-10,expense,203.69,Healthcare
2021-05-10,expense,93.73,Healthcare
2021-05-11,income,1121.69,Freelance
2021-05-12,expense,149.79,Shopping
2021-05-13,expense,49.5,Entertainment
2021-05-14,expense,149.59,Dining Out
2021-05-15,income,2595.46,Salary
2021-05-15,expense,120.39,Groceries
2021-05-16,income,949.43,Freelance
2021-05-16,expense,137.01,Shopping
2021-05-17,income,982.5,Freelance
2021-05-18,expense,91.84,Entertainment
2021-05-19,expense,92.65,Dining Out
2021-05-21,income,444.12,Side Business
2021-05-22,expense,128.17,Groceries
2021-05-22,expense,87.33,Shopping
2021-05-22,income,824.24,Side Business
2021-05-23,expense,157.55,Dining Out
2021-05-24,income,1033.65,Freelance
2021-05-25,expense,71.83,Shopping
2021-05-26,expense,81.69,Education
2021-05-27,income,1071.95,Freelance
2021-05-27,expense,57.53,Transportation
2021-05-27,expense,18.21,Personal Care
2021-05-27,expense,140.03,Shopping
2021-05-28,expense,13.82,Personal Care
2021-05-29,expense,57.55,Transportation
2021-05-29,expense,106.78,Groceries
2021-05-30,income,2595.46,Salary
2021-05-30,income,669.97,Side Business
2021-05-30,expense,55.3,Shopping
2021-05-30,expense,78.89,Shopping
2021-05-31,expense,158.81,Dining Out
2021-06-01,expense,1636.79,Housing
2021-06-01,expense,233.33,Utilities
2021-06-01,expense,202.45,Insurance
2021-06-01,expense,64.12,Subscriptions
2021-06-02,expense,79.33,Transportation
2021-06-02,expense,81.85,Dining Out
2021-06-03,expense,121.97,Dining Out
2021-06-05,income,659.64,Freelance
2021-06-05,income,1236.44,Rental Income
2021-06-05,expense,127.5,Groceries
2021-06-05,expense,45.41,Entertainment
2021-06-05,expense,51.87,Personal Care
2021-06-07,expense,40.75,Entertainment
2021-06-07,expense,78.72,Entertainment
2021-06-07,expense,64.08,Transportation
2021-06-10,income,428.17,Investments
2021-06-11,expense,60.1,Entertainment
2021-06-11,expense,55.04,Gifts
2021-06-12,expense,131.03,Groceries
2021-06-12,expense,72.74,Shopping
2021-06-12,expense,67.55,Entertainment
2021-06-14,expense,15.39,Personal Care
2021-06-15,income,2595.46,Salary
2021-06-15,expense,91.44,Entertainment
2021-06-16,expense,47.48,Entertainment
2021-06-18,expense,109.41,Dining Out
2021-06-19,income,901.35,Freelance
2021-06-19,expense,135.03,Groceries
2021-06-19,expense,64.52,Education
2021-06-22,income,617.08,Freelance
2021-06-23,expense,20.78,Personal Care
2021-06-24,expense,84.7,Transportation
2021-06-24,expense,119.49,Gifts
2021-06-25,income,440.87,Side Business
2021-06-26,expense,123.94,Dining Out
2021-06-26,expense,116.49,Dining Out
2021-06-26,income,1019.64,Freelance
2021-06-26,expense,127.24,Groceries
2021-06-29,expense,86.22,Entertainment
2021-06-30,income,2595.46,Salary
2021-06-30,expense,25.78,Gifts
2021-06-30,expense,42.95,Personal Care
2021-07-01,expense,82.53,Dining Out
2021-07-01,expense,67.05,Subscriptions
2021-07-01,expense,96.33,Dining Out
2021-07-01,expense,222.99,Utilities
2021-07-01,expense,1613.74,Housing
2021-07-01,expense,204.37,Insurance
2021-07-02,expense,93.57,Transportation
2021-07-03,expense,134.15,Groceries
2021-07-03,expense,60.54,Education
2021-07-04,expense,124.0,Dining Out
2021-07-05,income,1272.28,Rental Income
2021-07-05,expense,247.58,Shopping
2021-07-07,expense,54.19,Dining Out
2021-07-09,expense,116.26,Education
2021-07-10,expense,118.03,Groceries
2021-07-10,income,390.07,Investments
2021-07-11,income,717.79,Side Business
2021-07-11,income,905.92,Freelance
2021-07-12,expense,70.62,Transportation
2021-07-12,expense,70.96,Healthcare
2021-07-14,expense,170.31,Shopping
2021-07-15,income,2595.46,Salary
2021-07-15,expense,38.61,Healthcare
2021-07-16,income,500.72,Side Business
2021-07-16,expense,35.91,Entertainment
2021-07-17,income,1089.96,Freelance
2021-07-17,expense,132.73,Groceries
2021-07-19,expense,36.44,Entertainment
2021-07-19,expense,93.83,Transportation
2021-07-20,income,645.09,Freelance
2021-07-20,expense,92.98,Transportation
2021-07-20,expense,25.31,Entertainment
2021-07-22,income,507.64,Side Business
2021-07-24,expense,124.81,Groceries
2021-07-24,expense,65.69,Entertainment
2021-07-25,expense,99.46,Gifts
2021-07-26,expense,85.41,Dining Out
2021-07-27,expense,132.81,Dining Out
2021-07-28,expense,57.97,Transportation
2021-07-28,income,583.72,Side Business
2021-07-29,income,1105.92,Freelance
2021-07-29,income,644.15,Side Business
2021-07-29,expense,192.85,Healthcare
2021-07-30,income,2595.46,Salary
2021-07-30,expense,68.2,Dining Out
2021-07-31,expense,124.43,Groceries
2021-07-31,expense,112.84,Healthcare
2021-08-01,expense,31.73,Personal Care
2021-08-01,expense,68.59,Subscriptions
2021-08-01,expense,198.59,Insurance
2021-08-01,expense,237.64,Utilities
2021-08-01,expense,1658.75,Housing
2021-08-02,expense,111.3,Dining Out
2021-08-03,expense,52.32,Personal Care
2021-08-03,expense,83.52,Transportation
2021-08-03,expense,109.74,Healthcare
2021-08-04,expense,158.89,Dining Out
2021-08-04,expense,42.11,Transportation
2021-08-05,expense,54.53,Transportation
2021-08-05,income,1288.22,Rental Income
2021-08-05,expense,37.4,Entertainment
2021-08-06,income,806.44,Freelance
2021-08-06,expense,100.76,Dining Out
2021-08-07,expense,139.16,Groceries
2021-08-08,expense,23.67,Entertainment
2021-08-09,expense,88.37,Entertainment
2021-08-10,income,371.06,Investments
2021-08-10,expense,149.27,Education
2021-08-10,expense,53.77,Transportation
2021-08-11,expense,56.55,Transportation
2021-08-11,expense,141.4,Education
2021-08-11,expense,85.51,Transportation
2021-08-12,income,956.08,Side Business
2021-08-13,expense,29.69,Personal Care
2021-08-14,expense,140.15,Dining Out
2021-08-14,income,965.35,Freelance
2021-08-14,expense,121.36,Groceries
2021-08-14,expense,169.88,Healthcare
2021-08-15,income,738.56,Side Business
2021-08-15,income,2595.46,Salary
2021-08-16,income,654.94,Freelance
2021-08-16,expense,47.21,Entertainment
2021-08-16,expense,54.65,Entertainment
2021-08-18,expense,94.51,Dining Out
2021-08-19,expense,21.9,Personal Care
2021-08-21,expense,145.38,Groceries
2021-08-22,expense,96.57,Dining Out
2021-08-23,expense,29.7,Entertainment
2021-08-24,expense,86.99,Dining Out
2021-08-24,expense,85.7,Dining Out
2021-08-26,income,931.71,Side Business
2021-08-26,expense,82.49,Dining Out
2021-08-28,expense,158.52,Groceries
2021-08-29,income,509.22,Side Business
2021-08-29,expense,27.21,Personal Care
2021-08-30,income,2595.46,Salary
2021-08-30,expense,156.03,Dining Out
2021-08-31,expense,69.2,Entertainment
2021-09-01,expense,63.47,Subscriptions
2021-09-01,expense,211.49,Insurance
2021-09-01,expense,78.85,Entertainment
2021-09-01,expense,1583.42,Housing
2021-09-01,expense,231.57,Utilities
2021-09-02,expense,88.45,Dining Out
2021-09-04,expense,136.02,Groceries
2021-09-05,income,1324.75,Rental Income
2021-09-06,expense,52.24,Transportation
2021-09-07,income,913.18,Side Business
2021-09-07,expense,27.22,Entertainment
2021-09-08,expense,32.31,Entertainment
2021-09-09,expense,32.47,Entertainment
2021-09-09,income,813.36,Freelance
2021-09-10,income,439.79,Investments
2021-09-10,expense,86.84,Dining Out
2021-09-11,expense,127.02,Groceries
2021-09-11,expense,55.04,Dining Out
2021-09-12,expense,103.63,Transportation
2021-09-14,income,981.99,Freelance
2021-09-14,expense,41.36,Shopping
2021-09-15,income,2595.46,Salary
2021-09-15,expense,126.78,Dining Out
2021-09-16,expense,96.04,Transportation
2021-09-16,expense,173.78,Shopping
2021-09-18,expense,126.14,Groceries
2021-09-18,expense,15.04,Personal Care
2021-09-21,income,1091.64,Freelance
2021-09-22,expense,102.01,Transportation
2021-09-23,expense,19.37,Personal Care
2021-09-24,income,945.65,Side Business
2021-09-25,expense,121.66,Groceries
2021-09-26,income,749.44,Freelance
2021-09-26,expense,91.18,Entertainment
2021-09-29,expense,105.43,Transportation
2021-09-30,income,551.52,Side Business
2021-09-30,income,2595.46,Salary
2021-09-30,income,814.58,Freelance
2021-10-01,expense,1586.41,Housing
2021-10-01,expense,234.47,Utilities
2021-10-01,expense,198.47,Insurance
2021-10-01,expense,65.58,Subscriptions
2021-10-02,expense,130.63,Groceries
2021-10-02,expense,23.23,Personal Care
2021-10-03,expense,124.15,Shopping
2021-10-04,expense,66.6,Transportation
2021-10-04,expense,149.38,Healthcare
2021-10-04,expense,127.61,Healthcare
2021-10-04,income,1105.98,Freelance
2021-10-05,income,1312.75,Rental Income
2021-10-07,expense,31.06,Personal Care
2021-10-07,expense,69.26,Transportation
2021-10-07,expense,33.03,Transportation
2021-10-08,expense,134.41,Dining Out
2021-10-09,expense,111.29,Groceries
2021-10-09,expense,142.62,Dining Out
2021-10-10,income,409.21,Investments
2021-10-10,expense,11.18,Personal Care
2021-10-14,expense,16.6,Personal Care
2021-10-15,income,2595.46,Salary
2021-10-15,expense,73.71,Transportation
2021-10-16,income,802.5,Freelance
2021-10-16,expense,115.03,Groceries
2021-10-17,income,1135.01,Freelance
2021-10-17,income,553.37,Side Business
2021-10-17,expense,248.73,Shopping
2021-10-18,expense,145.29,Dining Out
2021-10-18,expense,168.5,Healthcare
2021-10-19,expense,87.67,Entertainment
2021-10-19,income,920.81,Freelance
2021-10-20,income,661.53,Side Business
2021-10-21,expense,75.51,Dining Out
2021-10-21,expense,476.84,Education
2021-10-22,expense,25.68,Personal Care
2021-10-23,income,642.56,Side Business
2021-10-23,expense,132.53,Groceries
2021-10-23,expense,48.81,Transportation
2021-10-23,expense,81.05,Dining Out
2021-10-24,income,574.07,Side Business
2021-10-24,expense,85.24,Transportation
2021-10-24,expense,132.09,Dining Out
2021-10-24,expense,81.4,Shopping
2021-10-26,expense,73.96,Transportation
2021-10-27,expense,251.72,Shopping
2021-10-28,expense,245.23,Shopping
2021-10-30,income,827.35,Side Business
2021-10-30,expense,159.0,Groceries
2021-10-30,income,2595.46,Salary
2021-10-30,income,916.82,Freelance
2021-10-31,expense,37.75,Healthcare
2021-10-31,expense,132.02,Dining Out
2021-10-31,expense,109.36,Dining Out
2021-11-01,income,914.16,Side Business
2021-11-01,expense,1616.66,Housing
2021-11-01,expense,233.73,Utilities
2021-11-01,expense,211.71,Insurance
2021-11-01,expense,63.93,Subscriptions
2021-11-01,expense,142.21,Shopping
2021-11-02,expense,24.54,Gifts
2021-11-03,expense,64.4,Healthcare
2021-11-05,expense,104.72,Education
2021-11-05,income,1273.36,Rental Income
2021-11-05,expense,108.08,Dining Out
2021-11-06,expense,169.38,Groceries
2021-11-06,expense,44.68,Entertainment
2021-11-07,income,1022.59,Freelance
2021-11-07,expense,88.06,Transportation
2021-11-08,expense,104.97,Transportation
2021-11-08,expense,83.82,Shopping
2021-11-09,income,748.27,Freelance
2021-11-10,expense,88.46,Transportation
2021-11-10,income,387.93,Investments
2021-11-11,expense,24.65,Personal Care
2021-11-12,expense,103.41,Gifts
2021-11-12,expense,805.46,Home Improvement
2021-11-13,expense,164.77,Groceries
2021-11-13,expense,27.98,Gifts
2021-11-15,income,2595.46,Salary
2021-11-15,expense,49.7,Personal Care
2021-11-17,expense,65.93,Gifts
2021-11-17,income,807.75,Freelance
2021-11-18,expense,191.02,Shopping
2021-11-19,expense,30.68,Entertainment
2021-11-19,expense,86.74,Entertainment
2021-11-20,expense,160.61,Groceries
2021-11-20,expense,77.13,Entertainment
2021-11-22,expense,105.29,Education
2021-11-24,expense,30.4,Entertainment
2021-11-26,expense,57.52,Entertainment
2021-11-27,expense,140.54,Groceries
2021-11-28,expense,67.16,Transportation
2021-11-29,expense,95.12,Dining Out
2021-11-30,expense,129.1,Education
2021-11-30,income,2595.46,Salary
2021-11-30,income,757.58,Freelance
2021-12-01,expense,1653.39,Housing
2021-12-01,expense,221.95,Utilities
2021-12-01,expense,213.29,Insurance
2021-12-01,expense,64.29,Subscriptions
2021-12-02,expense,85.21,Transportation
2021-12-03,expense,89.24,Transportation
2021-12-04,expense,187.22,Groceries
2021-12-05,income,1289.14,Rental Income
2021-12-05,expense,233.56,Shopping
2021-12-06,expense,43.54,Gifts
2021-12-06,expense,82.51,Dining Out
2021-12-06,income,888.0,Side Business
2021-12-06,expense,21.4,Education
2021-12-07,income,796.23,Side Business
2021-12-07,expense,244.24,Shopping
2021-12-08,expense,129.77,Shopping
2021-12-09,expense,89.6,Healthcare
2021-12-10,income,380.8,Investments
2021-12-10,expense,89.71,Dining Out
2021-12-11,expense,109.07,Dining Out
2021-12-11,income,759.69,Freelance
2021-12-11,expense,182.65,Groceries
2021-12-13,expense,109.45,Dining Out
2021-12-14,expense,254.94,Shopping
2021-12-15,income,2595.46,Salary
2021-12-15,expense,172.8,Shopping
2021-12-15,expense,42.37,Entertainment
2021-12-17,expense,95.12,Shopping
2021-12-18,expense,84.19,Dining Out
2021-12-18,expense,149.51,Groceries
2021-12-19,income,672.77,Side Business
2021-12-19,expense,86.3,Entertainment
2021-12-19,expense,1787.92,Travel
2021-12-20,expense,264.73,Shopping
2021-12-22,expense,34.9,Gifts
2021-12-23,income,630.14,Side Business
2021-12-23,income,870.83,Freelance
2021-12-24,expense,157.66,Dining Out
2021-12-25,expense,167.69,Groceries
2021-12-25,expense,92.15,Entertainment
2021-12-26,expense,39.52,Transportation
2021-12-26,income,947.96,Freelance
2021-12-27,income,723.28,Side Business
2021-12-28,income,949.15,Freelance
